mcMSKEY,mcDisplayName,mcMSKEYVALUE
21,MX_ROLE:ADMIN,MX_ROLE:ADMIN
18397,Role for Finance Manager,BR:IDM:FINANCE_MANAGER
18922,Role for Sap user Admin,BR:SAP:USER_ADMIN
19419,Role for SAP role administrator,BR:SAP:ROLE_ADMIN
20324,Basic role for all Users,BR:BASIC:COMMON_ALL_USERS
20664,Basic role for all Employees,BR:BASIC:EMPLOYEE_ROLE
21110,Base role for all consultants,BR:BASIC:CONSULTANT_ACCESS
21521,Demo Role for Approval,ROLE:IDM:APPROVAL_DEMO
24455,Role for Abap Developer,BR:SAP:ABAP_DEVELOPER
24460,Role for Demo Approval workflow,ROLE:IDM:DEMO_APPROVAL
24463,Demo Role 03,BR:IDM:DEMO03
24464,Demo Role Automatic Assignment,BR:SAP:ABAP_DEVELOPER2
24769,role_1,samplerole_1
24772,UserRole,Userrole_06
24816,testRole001,testRole001
24826,Project lead,Project lead
24829,UserDataChange,UserDataChange
24856,SUPER08,SUPER08
24857,Super04AdminRole,Super04AdminRole
24860,Super02_adminrole,Super02_adminrole
24873,ROLE:BUSINESS:GUESTGROUP,ROLE:BUSINESS:GUESTGROUP
24992,ROLE1,USERROLE1
24995,usergrouprole-2,USERGROUPROLE-2
25000,"Super05_adminrole	","Super05_adminrole	"
25004,xyz_role,xyz_role
25010,Test Role -1,TR01Sree
25486,restAPIUserRole,restAPIUserRole
25501,tester_R,tester_R
25508,workshop2role,workshop2role
27102,SALES_MANAGER1,SALES_MANAGER1
27103,SALES_ASSCIAT,SALES_ASSCIAT
27104,SALES_EXEC1,SALES_EXEC1
27105,SALES_EXEC2,SALES_EXEC2
27403,SAPC_IDM_DISPLAY_ALL,SAPC_IDM_DISPLAY_ALL
28349, IDM_APPROVERS,MX_28349
28351,SAPC_IDM_ADMINISTRATORS,SAPC_IDM_ADMINISTRATORS
28352,SAPC_IDM_SYSTEM_ADMINISTRATORS,SAPC_IDM_SYSTEM_ADMINISTRATORS
28353,SAPC_IDM_ESCALATION_APPROVERS,SAPC_IDM_ESCALATION_APPROVERS
28356,SAPC_IDM_REPORT_ALL,SAPC_IDM_REPORT_ALL
28451,RDS_Role_1,RDS_ROLE_001
28452,RDS_Role_2,RDS_ROLE_002
28453,RDS_Role_3,RDS_ROLE_003
28454,RDS_Role_4,RDS_ROLE_004
28455,RDS_Role_5,RDS_ROLE_005
28477,UserDataChange01,UserDataChange01
28478,ROLE:BUSINESS:TEST01,ROLE:BUSINESS:TEST01
403,MX_ROLE:ADMIN,MX_ROLE:ADMIN
28283,MX_ROLE:ADMIN,MX_ROLE:ADMIN
